NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR_TAR;PCR;TAR;PERC_PCR_TAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-08-26;2020-09-01;Si;;;0.0000;0.0000;0;1237.1134;6;0;0.0000;0;0;0
ALT CAMP;01;2020-08-25;2020-08-31;No;348.002;1.73602;200.4601;123.0096;54;913.4604;401;0;11.9289;3;0;0
ALT CAMP;01;2020-08-25;2020-08-31;Si;;;0.0000;0.0000;0;1443.2989;7;0;0.0000;0;0;0
ALT CAMP;01;2020-08-24;2020-08-30;No;322.616;1.68602;191.3483;116.1757;51;922.5722;405;0;11.5578;3;0;0
ALT CAMP;01;2020-08-24;2020-08-30;Si;;;0.0000;0.0000;0;1649.4845;8;0;0.0000;0;0;0
ALT CAMP;01;2020-08-23;2020-08-29;No;307.654;1.62719;189.0703;113.8978;50;927.1281;407;0;11.2500;3;0;0
ALT CAMP;01;2020-08-23;2020-08-29;Si;;;0.0000;0.0000;0;1649.4845;8;0;0.0000;0;0;0
ALT CAMP;01;2020-08-22;2020-08-28;No;270.02;1.44556;186.7924;107.0639;47;883.8470;388;0;10.9948;3;0;0
ALT CAMP;01;2020-08-22;2020-08-28;Si;;;0.0000;0.0000;0;1443.2989;7;0;0.0000;0;0;0
ALT CAMP;01;2020-08-21;2020-08-27;No;219.743;1.16223;189.0703;109.3418;48;990.9109;435;0;9.4907;3;0;0
ALT CAMP;01;2020-08-21;2020-08-27;Si;;;0.0000;0.0000;0;5567.0103;27;0;0.0000;0;0;0
ALT CAMP;01;2020-08-20;2020-08-26;No;151.156;0.947941;159.4569;75.1725;33;874.7351;384;0;6.5445;2;0;0
ALT CAMP;01;2020-08-20;2020-08-26;Si;;;0.0000;0.0000;0;5567.0103;27;0;0.0000;0;0;0
ALT CAMP;01;2020-08-19;2020-08-25;No;139.768;0.973915;143.5112;66.0607;29;863.3454;379;0;6.9149;1;0;0
ALT CAMP;01;2020-08-19;2020-08-25;Si;;;0.0000;0.0000;0;5154.6391;25;0;0.0000;0;0;0
ALT CAMP;01;2020-08-18;2020-08-24;No;164.666;1.20478;136.6773;77.4505;34;886.1249;389;0;9.0909;0;0;0
ALT CAMP;01;2020-08-18;2020-08-24;Si;;;0.0000;0.0000;0;5154.6391;25;0;0.0000;0;0;0
ALT CAMP;01;2020-08-17;2020-08-23;No;180.482;1.34288;134.3994;75.1725;33;924.8502;406;0;7.7114;1;0;1
ALT CAMP;01;2020-08-17;2020-08-23;Si;;;0.0000;0.0000;0;5567.0103;27;0;0.0000;0;0;0
ALT CAMP;01;2020-08-16;2020-08-22;No;194.632;1.47313;132.1214;75.1725;33;908.9045;399;0;8.1013;1;0;1
ALT CAMP;01;2020-08-16;2020-08-22;Si;;;0.0000;0.0000;0;5979.3814;29;0;0.0000;0;0;0
ALT CAMP;01;2020-08-15;2020-08-21;No;203.478;1.68537;120.7316;79.7284;35;931.6840;409;0;8.9109;1;0;1
ALT CAMP;01;2020-08-15;2020-08-21;Si;;;0.0000;0.0000;0;6185.5670;30;0;0.0000;0;0;0
ALT CAMP;01;2020-08-14;2020-08-20;No;253.233;2.26871;111.6198;79.7284;35;799.5626;351;0;9.8266;1;0;1
ALT CAMP;01;2020-08-14;2020-08-20;Si;;;0.0000;0.0000;0;1649.4845;8;0;0.0000;0;0;0
ALT CAMP;01;2020-08-13;2020-08-19;No;297.606;2.84014;104.7859;84.2843;37;781.3389;343;0;10.6509;1;0;1
ALT CAMP;01;2020-08-13;2020-08-19;Si;;;0.0000;0.0000;0;1649.4845;8;0;0.0000;0;0;0
